iter	RMSE
0	2.758988319
1	2.700101146
2	2.64812216
3	2.59511521
4	2.547624695
5	2.519654731
6	2.47678452
7	2.437339326
8	2.398855454
9	2.370033874
10	2.324691852
11	2.283508431
12	2.246817875
13	2.208821223
14	2.179165859
15	2.154138696
16	2.126194891
17	2.09319881
18	2.063135807
19	2.034078307
20	2.010058302
21	1.980947066
22	1.958654383
23	1.939309252
24	1.917427354
25	1.893198894
26	1.871190284
27	1.85379517
28	1.837887921
29	1.820692482
30	1.80347382
31	1.787673173
32	1.769807381
33	1.75036768
34	1.734690078
35	1.721233652
36	1.710231452
37	1.706394395
38	1.694245295
39	1.685950455
40	1.670016687
41	1.65959171
42	1.649020837
43	1.641873504
44	1.63086424
45	1.619829793
46	1.610137394
47	1.59801064
48	1.582794648
49	1.574540864
50	1.565641551
51	1.555932893
52	1.545287195
53	1.537705188
54	1.526747673
55	1.52101118
56	1.514252645
57	1.507930727
58	1.506724317
59	1.491464859
60	1.488358406
61	1.486896208
62	1.47757389
63	1.47316013
64	1.466681588
65	1.456751711
66	1.452218335
67	1.447395235
68	1.435530221
69	1.426804551
70	1.425786862
71	1.417779907
72	1.412087132
73	1.407228092
74	1.398840386
75	1.394124535
76	1.387862746
77	1.382336485
78	1.374131383
79	1.37014798
80	1.363917766
81	1.35764224
82	1.348652776
83	1.341689411
84	1.336784197
85	1.326794655
86	1.320073235
87	1.313562662
88	1.306026458
89	1.298490491
90	1.28936438
91	1.283072666
92	1.274477311
93	1.270232659
94	1.264544796
95	1.259619688
96	1.256115117
97	1.251447448
98	1.24243254
99	1.237297932
100	1.228521391
101	1.224971002
102	1.222154313
103	1.213928422
104	1.20825793
105	1.204266197
106	1.199050103
107	1.192449704
108	1.18724964
109	1.179646177
110	1.173423166
111	1.169525729
112	1.165393766
113	1.160543342
114	1.152669021
115	1.146787286
116	1.145686152
117	1.140412132
118	1.133365808
119	1.127601441
120	1.123240118
121	1.119129176
122	1.111155905
123	1.103335404
124	1.098209217
125	1.092734683
126	1.088058329
127	1.083649009
128	1.078822346
