iter	Passed	Remaining
0	2	2624
1	3	1992
2	4	1626
3	5	1436
4	6	1299
5	7	1265
6	8	1200
7	9	1155
8	10	1120
9	11	1090
10	11	1058
11	12	1029
12	13	1004
13	13	982
14	14	963
15	15	950
16	16	947
17	17	948
18	18	948
19	19	951
20	20	947
21	21	938
22	21	929
23	22	921
24	23	918
25	24	915
26	25	908
27	25	901
28	26	892
29	27	884
30	28	876
31	28	869
32	29	862
33	30	858
34	31	858
35	32	859
36	32	856
37	33	853
38	34	849
39	35	844
40	36	842
41	36	837
42	37	832
43	38	828
44	38	825
45	39	820
46	40	816
47	40	812
48	41	808
49	42	804
50	43	801
51	43	797
52	44	794
53	45	790
54	45	788
55	46	788
56	47	789
57	48	788
58	49	786
59	50	784
60	50	781
61	51	778
62	52	776
63	52	773
64	53	771
65	54	768
66	55	766
67	55	763
68	56	761
69	57	758
70	57	756
71	58	753
72	59	751
73	59	748
74	60	744
75	61	742
76	61	742
77	62	743
78	63	741
79	64	739
80	65	737
81	65	736
82	66	734
83	67	732
84	67	730
85	68	728
86	69	726
87	69	724
88	70	722
89	71	720
90	71	718
91	72	717
92	73	715
93	74	713
94	74	711
95	75	714
96	77	717
97	78	718
98	79	719
99	79	718
100	80	717
101	81	715
102	82	714
103	82	713
104	83	712
105	84	711
106	84	709
107	85	707
108	86	705
109	87	704
110	87	702
111	88	701
112	89	699
113	89	698
114	90	697
115	91	697
116	92	697
117	93	698
118	94	698
119	95	697
120	96	698
121	96	697
122	97	696
123	98	698
124	99	697
125	100	695
126	100	694
127	101	692
128	102	691
129	103	690
130	103	689
131	104	687
132	105	686
133	106	689
134	107	689
135	108	689
136	109	689
137	110	688
138	110	686
139	111	686
140	112	685
141	113	686
142	114	685
143	115	683
144	115	683
145	116	682
146	117	681
147	118	680
148	118	679
149	119	677
150	120	677
151	121	677
152	122	676
153	123	677
154	124	677
155	125	676
156	125	675
157	126	674
158	127	674
159	128	673
160	129	672
161	130	672
162	130	672
163	131	671
164	132	670
165	133	669
166	134	668
167	134	668
168	135	667
169	136	668
170	137	668
171	138	667
172	139	666
173	140	665
174	140	664
175	142	666
176	157	730
177	157	729
178	158	727
179	159	725
180	159	723
181	160	722
182	161	720
183	162	718
184	162	717
185	163	715
186	164	714
187	165	712
188	165	711
189	166	710
190	167	709
191	168	708
192	169	706
193	169	705
194	170	704
195	171	704
196	172	703
197	173	702
198	174	700
199	174	699
200	175	697
201	176	697
202	177	696
203	178	695
204	178	693
205	179	692
206	180	691
207	181	690
208	182	689
209	182	688
210	183	686
211	184	685
212	185	684
213	185	683
214	186	681
215	187	680
216	188	678
217	188	677
218	189	675
219	190	674
220	190	673
221	191	671
222	192	670
223	193	669
224	193	667
225	194	666
226	195	665
227	196	664
228	197	663
229	197	662
230	198	661
231	199	661
232	200	660
233	201	659
234	202	657
235	202	656
236	203	655
237	204	653
238	205	652
239	205	651
240	206	650
241	207	649
242	207	647
243	208	646
244	209	645
245	210	643
246	210	643
247	211	642
248	212	641
249	213	640
250	214	639
251	215	639
252	216	638
253	216	637
254	217	636
255	218	635
256	220	636
257	221	636
258	222	636
259	223	634
260	223	633
261	224	632
262	225	631
263	226	630
264	227	630
265	228	629
266	229	628
267	229	627
268	230	626
269	231	625
270	232	624
271	233	623
272	234	623
273	234	622
274	235	621
275	236	620
276	237	619
277	238	618
278	239	617
279	239	616
280	240	615
281	241	615
282	242	614
283	243	614
284	244	613
285	245	612
286	246	612
287	247	611
288	248	610
289	248	609
290	249	608
291	250	606
292	251	605
293	251	604
294	252	603
295	253	602
296	254	601
297	254	600
298	255	598
299	256	598
300	257	597
301	259	598
302	259	598
303	260	597
304	261	596
305	262	595
306	263	593
307	263	592
308	264	591
